schema_name,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale,constraint_type,constraint_name,constraint_column,foreign_table_schema,foreign_table,foreign_column,column_description
auth,audit_log_entries,instance_id,1,null,YES,uuid,null,null,null,null,null,null,null,null,null,null
auth,audit_log_entries,id,2,null,NO,uuid,null,null,null,PRIMARY KEY,audit_log_entries_pkey,id,null,null,null,null
auth,audit_log_entries,payload,3,null,YES,json,null,null,null,null,null,null,null,null,null,null
auth,audit_log_entries,created_at,4,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,audit_log_entries,ip_address,5,''::character varying,NO,character varying,64,null,null,null,null,null,null,null,null,null
auth,flow_state,id,1,null,NO,uuid,null,null,null,PRIMARY KEY,flow_state_pkey,id,null,null,null,null
auth,flow_state,user_id,2,null,YES,uuid,null,null,null,null,null,null,null,null,null,null
auth,flow_state,auth_code,3,null,NO,text,null,null,null,null,null,null,null,null,null,null
auth,flow_state,code_challenge_method,4,null,NO,USER-DEFINED,null,null,null,null,null,null,null,null,null,null
auth,flow_state,code_challenge,5,null,NO,text,null,null,null,null,null,null,null,null,null,null
auth,flow_state,provider_type,6,null,NO,text,null,null,null,null,null,null,null,null,null,null
auth,flow_state,provider_access_token,7,null,YES,text,null,null,null,null,null,null,null,null,null,null
auth,flow_state,provider_refresh_token,8,null,YES,text,null,null,null,null,null,null,null,null,null,null
auth,flow_state,created_at,9,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,flow_state,updated_at,10,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,flow_state,authentication_method,11,null,NO,text,null,null,null,null,null,null,null,null,null,null
auth,flow_state,auth_code_issued_at,12,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,identities,provider_id,1,null,NO,text,null,null,null,UNIQUE,identities_provider_id_provider_unique,provider_id,null,null,null,null
auth,identities,user_id,2,null,NO,uuid,null,null,null,FOREIGN KEY,identities_user_id_fkey,user_id,null,null,null,null
auth,identities,identity_data,3,null,NO,jsonb,null,null,null,null,null,null,null,null,null,null
auth,identities,provider,4,null,NO,text,null,null,null,UNIQUE,identities_provider_id_provider_unique,provider,null,null,null,null
auth,identities,last_sign_in_at,5,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,identities,created_at,6,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,identities,updated_at,7,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,identities,email,8,null,YES,text,null,null,null,null,null,null,null,null,null,Auth: Email is a generated column that references the optional email property in the identity_data
auth,identities,id,9,gen_random_uuid(),NO,uuid,null,null,null,PRIMARY KEY,identities_pkey,id,null,null,null,null
auth,instances,id,1,null,NO,uuid,null,null,null,PRIMARY KEY,instances_pkey,id,null,null,null,null
auth,instances,uuid,2,null,YES,uuid,null,null,null,null,null,null,null,null,null,null
auth,instances,raw_base_config,3,null,YES,text,null,null,null,null,null,null,null,null,null,null
auth,instances,created_at,4,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,instances,updated_at,5,null,YES,timestamp with time zone,null,null,null,null,null,null,null,null,null,null
auth,mfa_amr_claims,session_id,1,null,NO,uuid,null,null,null,FOREIGN KEY,mfa_amr_claims_session_id_fkey,session_id,null,null,null,null
auth,mfa_amr_claims,session_id,1,null,NO,uuid,null,null,null,UNIQUE,mfa_amr_claims_session_id_authentication_method_pkey,session_id,null,null,null,null
