schema_name,table_name,column_name,ordinal_position,data_type,is_nullable,column_default,is_primary_key,foreign_keys
auth,audit_log_entries,instance_id,1,uuid,YES,null,false,null
auth,audit_log_entries,id,2,uuid,NO,null,true,null
auth,audit_log_entries,payload,3,json,YES,null,false,null
auth,audit_log_entries,created_at,4,timestamp with time zone,YES,null,false,null
auth,audit_log_entries,ip_address,5,character varying,NO,''::character varying,false,null
auth,flow_state,id,1,uuid,NO,null,true,null
auth,flow_state,user_id,2,uuid,YES,null,false,null
auth,flow_state,auth_code,3,text,NO,null,false,null
auth,flow_state,code_challenge_method,4,USER-DEFINED,NO,null,false,null
auth,flow_state,code_challenge,5,text,NO,null,false,null
auth,flow_state,provider_type,6,text,NO,null,false,null
auth,flow_state,provider_access_token,7,text,YES,null,false,null
auth,flow_state,provider_refresh_token,8,text,YES,null,false,null
auth,flow_state,created_at,9,timestamp with time zone,YES,null,false,null
auth,flow_state,updated_at,10,timestamp with time zone,YES,null,false,null
auth,flow_state,authentication_method,11,text,NO,null,false,null
auth,flow_state,auth_code_issued_at,12,timestamp with time zone,YES,null,false,null
auth,identities,provider_id,1,text,NO,null,false,null
auth,identities,user_id,2,uuid,NO,null,false,"[{""target_table"":""users"",""target_column"":""id"",""target_schema"":""auth"",""constraint_name"":""identities_user_id_fkey""}]"
auth,identities,identity_data,3,jsonb,NO,null,false,null
auth,identities,provider,4,text,NO,null,false,null
auth,identities,last_sign_in_at,5,timestamp with time zone,YES,null,false,null
auth,identities,created_at,6,timestamp with time zone,YES,null,false,null
auth,identities,updated_at,7,timestamp with time zone,YES,null,false,null
auth,identities,email,8,text,YES,null,false,null
auth,identities,id,9,uuid,NO,gen_random_uuid(),true,null
auth,instances,id,1,uuid,NO,null,true,null
auth,instances,uuid,2,uuid,YES,null,false,null
auth,instances,raw_base_config,3,text,YES,null,false,null
auth,instances,created_at,4,timestamp with time zone,YES,null,false,null
auth,instances,updated_at,5,timestamp with time zone,YES,null,false,null
auth,mfa_amr_claims,session_id,1,uuid,NO,null,false,"[{""target_table"":""sessions"",""target_column"":""id"",""target_schema"":""auth"",""constraint_name"":""mfa_amr_claims_session_id_fkey""}]"
auth,mfa_amr_claims,created_at,2,timestamp with time zone,NO,null,false,null
auth,mfa_amr_claims,updated_at,3,timestamp with time zone,NO,null,false,null
