table_name,column_name,foreign_table_name,foreign_column_name
subscription_addon_items,subscription_id,subscriptions,id
subscription_addon_items,addon_id,subscription_addons,id
control_plane_users,tenant_id,tenants,id
control_plane_user_activities,user_id,control_plane_users,id
control_plane_user_activities,tenant_id,tenants,id
user_tenants,user_id,users,id
user_tenants,tenant_id,tenants,id
user_tenants,convidado_por,users,id
fin_contas_bancarias,tenant_id,tenants,id
fin_categorias,tenant_id,tenants,id
fin_categorias,categoria_pai_id,fin_categorias,id
fin_receitas,tenant_id,tenants,id
fin_receitas,categoria_id,fin_categorias,id
fin_receitas,cliente_id,noro_clientes,id
fin_receitas,orcamento_id,noro_orcamentos,id
fin_receitas,pedido_id,noro_pedidos,id
fin_receitas,conta_bancaria_id,fin_contas_bancarias,id
fin_receitas,fornecedor_comissao_id,noro_fornecedores,id
fin_receitas,created_by,noro_users,id
fin_receitas,updated_by,noro_users,id
fin_despesas,tenant_id,tenants,id
fin_despesas,categoria_id,fin_categorias,id
fin_despesas,fornecedor_id,noro_fornecedores,id
fin_despesas,pedido_id,noro_pedidos,id
fin_despesas,conta_bancaria_id,fin_contas_bancarias,id
fin_despesas,created_by,noro_users,id
fin_despesas,updated_by,noro_users,id
fin_transacoes,tenant_id,tenants,id
fin_transacoes,conta_origem_id,fin_contas_bancarias,id
fin_transacoes,conta_destino_id,fin_contas_bancarias,id
fin_transacoes,receita_id,fin_receitas,id
fin_transacoes,despesa_id,fin_despesas,id
noro_audit_log,user_id,noro_users,id
noro_campanhas,created_by,noro_users,id
noro_clientes,agente_responsavel_id,noro_users,id
noro_clientes_contatos_emergencia,cliente_id,noro_clientes,id
noro_clientes_documentos,cliente_id,noro_clientes,id
noro_clientes_enderecos,cliente_id,noro_clientes,id
noro_clientes_milhas,cliente_id,noro_clientes,id
noro_clientes,origem_lead_id,noro_leads,id
noro_clientes_preferencias,cliente_id,noro_clientes,id
noro_comissoes,agente_id,noro_users,id
noro_comissoes,aprovado_por,noro_users,id
noro_comissoes,pago_por,noro_users,id
noro_comissoes,pedido_id,noro_pedidos,id
noro_comissoes,transacao_id,noro_transacoes,id
noro_comunicacao_templates,created_by,noro_users,id
noro_comunicacao_templates,updated_by,noro_users,id
noro_interacoes,agente_id,noro_users,id
noro_interacoes,cliente_id,noro_clientes,id
noro_interacoes,lead_id,noro_leads,id
noro_interacoes,orcamento_id,noro_orcamentos,id
noro_interacoes,pedido_id,noro_pedidos,id
noro_notificacoes,user_id,noro_users,id
noro_orcamentos,cliente_id,noro_clientes,id
noro_orcamentos,created_by,noro_users,id
noro_orcamentos_itens,orcamento_id,noro_orcamentos,id
noro_orcamentos,lead_id,noro_leads,id
noro_orcamentos,updated_by,noro_users,id
noro_pedidos,cancelado_por,noro_users,id
noro_pedidos,cliente_id,noro_clientes,id
noro_pedidos,created_by,noro_users,id
noro_pedidos_itens,confirmado_por,noro_users,id
noro_pedidos_itens,pedido_id,noro_pedidos,id
noro_pedidos,orcamento_id,noro_orcamentos,id
noro_pedidos_timeline,created_by,noro_users,id
noro_pedidos_timeline,pedido_id,noro_pedidos,id
noro_pedidos,updated_by,noro_users,id
noro_tarefas,created_by,noro_users,id
noro_tarefas,lead_id,noro_leads,id
noro_tarefas,responsavel,noro_users,id
noro_transacoes,cliente_id,noro_clientes,id
noro_transacoes,created_by,noro_users,id
noro_transacoes,fornecedor_id,noro_fornecedores,id
noro_transacoes,pedido_id,noro_pedidos,id
noro_transacoes,reconciliado_por,noro_users,id
noro_transacoes,transacao_origem_id,noro_transacoes,id
noro_transacoes,updated_by,noro_users,id
fin_transacoes,categoria_id,fin_categorias,id
fin_transacoes,created_by,noro_users,id
tenant_settings,tenant_id,tenants,id
plan_features,plan_id,plans,id
tenant_plan,tenant_id,tenants,id
tenant_plan,plan_id,plans,id
tenant_modules,tenant_id,tenants,id
tenant_modules,module_id,modules_registry,id
user_tenant_roles,tenant_id,tenants,id
usage_counters,tenant_id,tenants,id
billing_events,tenant_id,tenants,id
payments,billing_event_id,billing_events,id
api_keys,tenant_id,tenants,id
webhooks,tenant_id,tenants,id
domains,tenant_id,tenants,id
noro_clientes,tenant_id,tenants,id
noro_leads,tenant_id,tenants,id
noro_orcamentos,tenant_id,tenants,id
noro_orcamentos_itens,tenant_id,tenants,id
noro_pedidos,tenant_id,tenants,id
noro_pedidos_itens,tenant_id,tenants,id
noro_pedidos_timeline,tenant_id,tenants,id
noro_clientes_contatos_emergencia,tenant_id,tenants,id
noro_clientes_documentos,tenant_id,tenants,id
noro_clientes_enderecos,tenant_id,tenants,id
noro_clientes_milhas,tenant_id,tenants,id
noro_clientes_preferencias,tenant_id,tenants,id
noro_tarefas,tenant_id,tenants,id
noro_interacoes,tenant_id,tenants,id
