table_name,column_name,data_type,is_nullable
chatbot_auto_responses,id,uuid,NO
chatbot_auto_responses,tenant_id,uuid,NO
chatbot_auto_responses,trigger,text,NO
chatbot_auto_responses,trigger_type,text,YES
chatbot_auto_responses,response,text,NO
chatbot_auto_responses,enabled,boolean,YES
chatbot_auto_responses,priority,integer,YES
chatbot_auto_responses,usage_count,integer,YES
chatbot_auto_responses,last_used_at,timestamp with time zone,YES
chatbot_auto_responses,created_at,timestamp with time zone,YES
chatbot_auto_responses,updated_at,timestamp with time zone,YES
chatbot_configs,id,uuid,NO
chatbot_configs,tenant_id,uuid,NO
chatbot_configs,bot_enabled,boolean,YES
chatbot_configs,bot_name,text,YES
chatbot_configs,welcome_message,text,YES
chatbot_configs,transfer_to_human,boolean,YES
chatbot_configs,transfer_message,text,YES
chatbot_configs,auto_close_inactive,boolean,YES
chatbot_configs,auto_close_minutes,integer,YES
chatbot_configs,business_hours,jsonb,YES
chatbot_configs,offline_message,text,YES
chatbot_configs,created_at,timestamp with time zone,YES
chatbot_configs,updated_at,timestamp with time zone,YES
clientes,id,uuid,NO
clientes,tenant_id,uuid,NO
clientes,nome,character varying,NO
clientes,tipo,character varying,YES
clientes,cnpj_cpf,character varying,YES
clientes,email,character varying,YES
clientes,telefone,character varying,YES
clientes,telefone_secundario,character varying,YES
clientes,endereco_logradouro,character varying,YES
clientes,endereco_numero,character varying,YES
clientes,endereco_complemento,character varying,YES
clientes,endereco_bairro,character varying,YES
clientes,endereco_cidade,character varying,YES
clientes,endereco_estado,character varying,YES
clientes,endereco_cep,character varying,YES
clientes,endereco_pais,character varying,YES
clientes,limite_credito,numeric,YES
clientes,dias_prazo_pagamento,integer,YES
clientes,ativo,boolean,YES
clientes,observacoes,text,YES
clientes,tags,ARRAY,YES
clientes,dados_adicionais,jsonb,YES
clientes,created_at,timestamp with time zone,YES
clientes,updated_at,timestamp with time zone,YES
conversations,id,uuid,NO
conversations,tenant_id,uuid,NO
conversations,client_name,text,NO
conversations,client_email,text,NO
conversations,client_phone,text,YES
conversations,client_metadata,jsonb,YES
conversations,status,text,NO
conversations,priority,text,YES
conversations,assigned_to,uuid,YES
conversations,assigned_at,timestamp with time zone,YES
conversations,last_message,text,YES
conversations,last_message_at,timestamp with time zone,YES
conversations,last_message_sender,text,YES
conversations,unread_count,integer,YES
conversations,message_count,integer,YES
conversations,tags,ARRAY,YES
conversations,category,text,YES
conversations,first_response_at,timestamp with time zone,YES
conversations,first_response_time_seconds,integer,YES
conversations,resolution_time_seconds,integer,YES
conversations,rating,integer,YES
conversations,feedback,text,YES
conversations,created_at,timestamp with time zone,YES
conversations,updated_at,timestamp with time zone,YES
conversations,closed_at,timestamp with time zone,YES
fin_adiantamentos,id,uuid,NO
fin_adiantamentos,tenant_id,uuid,NO
fin_adiantamentos,marca,USER-DEFINED,NO
fin_adiantamentos,numero_adiantamento,character varying,NO
fin_adiantamentos,tipo,USER-DEFINED,NO
fin_adiantamentos,fornecedor_id,uuid,NO
fin_adiantamentos,fornecedor_nome,character varying,YES
fin_adiantamentos,reserva_id,uuid,YES
fin_adiantamentos,valor_original,numeric,NO
fin_adiantamentos,valor_utilizado,numeric,YES
fin_adiantamentos,valor_disponivel,numeric,NO
fin_adiantamentos,moeda,USER-DEFINED,YES
fin_adiantamentos,taxa_cambio,numeric,YES
fin_adiantamentos,data_pagamento,date,NO
fin_adiantamentos,data_expiracao,date,YES
fin_adiantamentos,status,USER-DEFINED,YES
